"","handle","time","tweet","joy","fear","sadness","disgust","anger"
"33","realDonaldTrump","2017-02-14 02:57:05","Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK","0","0","0","0","0"
"34","realDonaldTrump","2017-02-13 18:50:57","Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada🇨🇦and th… https://t.co/wAoCOaYeZ6","0.742074","0.090508","0.140127","0.084921","0.046329"
"35","realDonaldTrump","2017-02-13 16:59:06","Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri","0.571425","0.143948","0.16827","0.114009","0.046008"
"36","realDonaldTrump","2017-02-13 15:53:08","Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP","0.556099","0.25414","0.104106","0.082244","0.090892"
"37","realDonaldTrump","2017-02-12 22:19:05","Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!","0","0","0","0","0"
"38","realDonaldTrump","2017-02-12 15:41:55","Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!","0.854349","0.033738","0.062538","0.068863","0.021886"
"39","realDonaldTrump","2017-02-12 13:23:18","I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!","0.116734","0.130683","0.5437","0.132515","0.193711"
"40","realDonaldTrump","2017-02-12 13:04:49","After two days of very productive talks, Prime Minister Abe is heading back to Japan. L","0","0","0","0","0"
"41","realDonaldTrump","2017-02-12 12:14:16","While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!","0.123651","0.075288","0.303249","0.4573","0.15108"
"42","realDonaldTrump","2017-02-12 11:55:10","72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp; YEMEN","0","0","0","0","0"
"43","realDonaldTrump","2017-02-12 11:34:45","The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp; others are being removed!","0.025509","0.144611","0.557845","0.198536","0.171115"
"44","realDonaldTrump","2017-02-12 05:02:01","#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D","0","0","0","0","0"
"45","realDonaldTrump","2017-02-11 23:24:08","A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!","0.572873","0.030677","0.240627","0.14794","0.052555"
"46","realDonaldTrump","2017-02-11 23:15:34","Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!","0.750579","0.04199","0.104727","0.132854","0.035115"
"47","realDonaldTrump","2017-02-11 23:00:21","I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!","0.271887","0.037937","0.311896","0.291089","0.124434"
"48","realDonaldTrump","2017-02-11 18:28:31","Having a great time hosting Prime Minister Shinzo Abe in the United States! 
https://t.co/Fvjsac89qS… https://t.co/hKqbMB2aQ9","0.836955","0.070058","0.052429","0.04601","0.039688"
"49","realDonaldTrump","2017-02-11 13:33:53","Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!","0","0","0","0","0"
"50","realDonaldTrump","2017-02-11 13:24:32","...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!","0.146924","0.13175","0.173942","0.557581","0.096284"
"51","realDonaldTrump","2017-02-11 13:18:43","I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the.....","0.004554","0.219781","0.526817","0.163115","0.229169"
"52","realDonaldTrump","2017-02-11 12:12:51","Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!","0.038224","0.200143","0.491806","0.249272","0.137182"
"53","realDonaldTrump","2017-02-10 23:24:51","Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzō earlier today. https://t.co/4JFhyYdeHO","0","0","0","0","0"
"54","realDonaldTrump","2017-02-10 13:35:50","The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!","0.018287","0.083847","0.732359","0.117564","0.136616"
"55","realDonaldTrump","2017-02-10 13:15:27","LAWFARE: ""Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."" A disgraceful decision!","0.039197","0.114099","0.109696","0.573899","0.270596"
"56","realDonaldTrump","2017-02-09 23:35:49","SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!","0.158453","0.430009","0.24753","0.1488","0.089482"
"57","realDonaldTrump","2017-02-09 15:58:01","Join us live in the Oval Office for the swearing in of our new Attorney General, @SenatorSessions!
LIVE:… https://t.co/QeW6vjog4A","0.653759","0.148756","0.108243","0.037921","0.106482"
"58","realDonaldTrump","2017-02-09 13:52:31","..Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!","0.044049","0.335111","0.419049","0.135473","0.145522"
"59","realDonaldTrump","2017-02-09 13:31:59","...long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero..","0.028155","0.024362","0.783935","0.132287","0.136413"
"60","realDonaldTrump","2017-02-09 13:26:07","Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....","0.003506","0.587577","0.374684","0.05871","0.057583"
